Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2016-09,3780168.67
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2016-10,2481105.42
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2016-11,2849786.02
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2016-12,3779182.53
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-01,2472471.98
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-02,2649399.56
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-03,3814412.96
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-04,2864285.21
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-05,2369139.96
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-06,3526176.1
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-07,2489664.11
B_I_G,B_I_G,"ETS(A,N,A)",338005.62,10.85,2017-08,2926964.96
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2016-09,2790585.64
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2016-10,2161350.64
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2016-11,2515271.27
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2016-12,3449139.4
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-01,2170058.19
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-02,2443887.46
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-03,2713353.3
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-04,1844372.24
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-05,1776341.41
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-06,2406991.15
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-07,1889167.91
A_D_NULL,A_D_NULL,Nixtla_OptTheta,88822.66,3.05,2017-08,2101717.19
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2016-09,2549158.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2016-10,2131176.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2016-11,3188209.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2016-12,2270962.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-01,2776162.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-02,3441995.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-03,2157189.0
